center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type
728500,Tehsil Kryalay Depalpur 1,Tehsil Kryalay Parisar Depalpur 1,Madhya Pradesh,Indore,DEPALPUR,452001,22,75,09:00:00,17:00:00,Free
575793,DNS Hospital,DNS Hospital Lt.,Madhya Pradesh,Indore,INDORE,452011,22,75,09:00:00,13:00:00,Paid
639398,KAKRIYA BORDIYA,KAKARIYABARODIA,Madhya Pradesh,Indore,Sawer,453551,22,76,09:00:00,17:00:00,Free
723846,Kila Maidan Drive In,Kila Maidan (malharganj ) Vidhan Sabha 01 Vip Road Dalal Bag,Madhya Pradesh,Indore,INDORE,452001,22,75,09:00:00,16:00:00,Free
623397,CHITODA (PANCHAYAT BHAWN),CHITTODA SHC,Madhya Pradesh,Indore,Sawer,453551,22,75,09:00:00,17:00:00,Free
623913,MENDAKWAS (PANCHAYAT BHAWAN),MENDAKWAS SHC,Madhya Pradesh,Indore,DEPALPUR,453220,22,75,09:00:00,17:00:00,Free
623516,BAROLI (PANCHAYAT BHAWN),BAROLI SHC,Madhya Pradesh,Indore,Sawer,453111,22,75,09:00:00,17:00:00,Free
728487,Chota Betma,Chota Betma,Madhya Pradesh,Indore,DEPALPUR,452001,22,75,09:00:00,17:00:00,Free
712957,Govt. Middle School No. 40,CRP Line Dhakkan Wala Kua Indore,Madhya Pradesh,Indore,INDORE,452001,22,75,09:00:00,16:00:00,Free
726194,DRIVE IN SANWER MANDI 1,MANDI PARISAR,Madhya Pradesh,Indore,Sawer,452001,22,75,09:00:00,17:00:00,Free
705418,Pologround Gol Bagicha Udyog,Pologround Gol Bagicha Udyog Parisar,Madhya Pradesh,Indore,INDORE,452001,22,75,09:00:00,16:00:00,Free
561413,APOLLO RAHSHREE HOSPITALS,Scheme No 74C Sector D Vijay Nagar Indore,Madhya Pradesh,Indore,INDORE,452010,22,75,09:00:00,18:00:00,Paid
