session_id,date,available_capacity,min_age_limit,vaccine,slots,available_capacity_dose1,available_capacity_dose2
ae7803a9-d0ca-4a6d-899c-29e9b7bdd99b,10-06-2021,0,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']",0,0
3c431c85-a758-4ecd-b2a7-d50b24b347e7,10-06-2021,70,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",35,35
ab7fdb6d-a536-4425-9ccf-1524b8872282,10-06-2021,0,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
8fad6b13-18a2-4329-996b-0addb93d9411,10-06-2021,0,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']",0,0
dd4b330d-59e4-4256-8196-9afc5fdba9b5,10-06-2021,0,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
039d2563-eb63-4220-b7ac-3003b302a91b,10-06-2021,0,18,COVAXIN,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
75aa8357-23d7-4a1d-b0ee-b9f7911f4473,10-06-2021,95,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']",76,19
03871e85-73b8-4c6f-b912-e23838100e5a,10-06-2021,0,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
f6346eab-6fdc-46a8-8afc-31d5cfd8ad46,10-06-2021,137,18,COVISHIELD,"['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM']",41,96
4d7f50df-1ed5-4921-beef-b0985154e7f7,10-06-2021,0,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
298ed286-069b-463c-914f-657b1d11e202,10-06-2021,0,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']",0,0
83790a51-16a8-43a6-945d-a4ea05aa448a,10-06-2021,0,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
1f160476-8ad4-408d-b338-5242fc145503,10-06-2021,0,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
3c1c5c93-854a-471b-9620-13838c7a2adf,10-06-2021,0,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
545f197e-e00f-4245-80ba-154e58e3adf1,10-06-2021,0,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
0126b57e-b678-4c37-b56a-1f3687503b31,10-06-2021,0,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']",0,0
6f1a7012-2fd5-4853-b6b9-30db92dfc67e,10-06-2021,0,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
4496be75-613b-4483-aec0-269ad9ecbf1f,10-06-2021,0,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']",0,0
fa6437d2-fae5-4276-bb9c-37247a878033,11-06-2021,15,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']",6,9
